epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59132.6,1.19759,2.0787,1.86176,0.54679,0.58241,0.60207,0.37648,1.24239,1.44546,2.10459,0.0017997,0.0017997,0.0017997
43,60401.1,1.19034,2.05939,1.8561,0.52144,0.62068,0.57761,0.3551,1.30713,1.50447,2.17976,0.00179018,0.00179018,0.00179018
44,61901.3,1.19307,2.05343,1.85349,0.62257,0.55997,0.63215,0.38152,1.30636,1.42118,2.22592,0.00178045,0.00178045,0.00178045
45,63066,1.19403,2.04382,1.85969,0.52174,0.6302,0.63547,0.39796,1.24325,1.4004,2.10351,0.00177054,0.00177054,0.00177054
46,64421,1.18974,2.0244,1.8467,0.53457,0.60593,0.62842,0.40795,1.24362,1.39132,2.10825,0.00176043,0.00176043,0.00176043
47,65754.1,1.17686,2.00769,1.84517,0.53031,0.64745,0.64851,0.38906,1.24579,1.40284,2.16156,0.00175014,0.00175014,0.00175014
48,67110.7,1.1687,1.97478,1.83267,0.52755,0.61721,0.61868,0.3928,1.22749,1.46059,2.10836,0.00173966,0.00173966,0.00173966
49,68454.2,1.1671,1.94405,1.83666,0.61056,0.63215,0.65433,0.41994,1.26866,1.36226,2.11778,0.001729,0.001729,0.001729
50,69639,1.17028,1.97654,1.83014,0.55872,0.62421,0.62548,0.40253,1.21567,1.36659,2.07886,0.00171815,0.00171815,0.00171815
51,70856.6,1.15664,1.93976,1.82755,0.69874,0.55941,0.66516,0.4265,1.20973,1.34614,2.05654,0.00170714,0.00170714,0.00170714
52,72268.7,1.17071,1.93696,1.83109,0.59955,0.65385,0.6826,0.42433,1.2227,1.3149,2.09626,0.00169594,0.00169594,0.00169594
53,73263.6,1.15848,1.93126,1.82511,0.59816,0.64954,0.67897,0.42706,1.21371,1.32312,2.09964,0.00168458,0.00168458,0.00168458
54,74643.7,1.16254,1.9332,1.82811,0.69321,0.58265,0.66497,0.41568,1.23889,1.35244,2.11937,0.00167305,0.00167305,0.00167305
55,75538.2,1.15249,1.89353,1.81752,0.59896,0.65369,0.66752,0.41507,1.27065,1.34303,2.164,0.00166135,0.00166135,0.00166135
56,76643.5,1.15698,1.88711,1.81705,0.55176,0.6422,0.65365,0.41563,1.22313,1.32223,2.12382,0.00164948,0.00164948,0.00164948
57,77860.4,1.14975,1.89367,1.81549,0.59799,0.62696,0.66161,0.42928,1.20117,1.29761,2.09044,0.00163746,0.00163746,0.00163746
58,79348.9,1.14191,1.87067,1.80381,0.68281,0.60655,0.69543,0.44805,1.22269,1.26375,2.10462,0.00162528,0.00162528,0.00162528
59,80593.1,1.1411,1.84367,1.80489,0.63532,0.62504,0.69041,0.44582,1.21177,1.2589,2.07248,0.00161295,0.00161295,0.00161295
60,81986.1,1.13749,1.84337,1.80287,0.65963,0.6015,0.68643,0.43995,1.21567,1.26313,2.07083,0.00160046,0.00160046,0.00160046
61,83628.5,1.14373,1.88132,1.80699,0.60861,0.6767,0.71419,0.46087,1.20879,1.25815,2.09819,0.00158783,0.00158783,0.00158783
62,85031.9,1.13379,1.83173,1.79659,0.65975,0.64064,0.70379,0.44681,1.2217,1.24572,2.08976,0.00157505,0.00157505,0.00157505
63,86281.7,1.13168,1.84786,1.7979,0.58814,0.67533,0.69634,0.44833,1.21941,1.24952,2.11298,0.00156213,0.00156213,0.00156213
64,87655.1,1.12483,1.81967,1.78942,0.6752,0.6716,0.71314,0.4625,1.20884,1.22387,2.06648,0.00154907,0.00154907,0.00154907
65,89094.9,1.13122,1.81898,1.79442,0.67163,0.66113,0.72159,0.47076,1.16304,1.18681,1.99104,0.00153587,0.00153587,0.00153587
66,90436.3,1.12672,1.79643,1.78656,0.61567,0.68779,0.69222,0.45221,1.20673,1.20163,2.07402,0.00152255,0.00152255,0.00152255
67,91614.8,1.117,1.78821,1.77704,0.65927,0.68301,0.70441,0.46441,1.17508,1.22156,2.01596,0.00150909,0.00150909,0.00150909
68,93074.4,1.12119,1.7874,1.78634,0.65555,0.65373,0.71076,0.47708,1.16134,1.18019,2.01433,0.00149551,0.00149551,0.00149551
69,94310.8,1.12021,1.77515,1.78731,0.6654,0.69205,0.73547,0.48424,1.19046,1.16341,2.05677,0.00148181,0.00148181,0.00148181
70,95622.2,1.11396,1.7755,1.77041,0.67763,0.64967,0.71592,0.48129,1.14556,1.20482,1.98415,0.00146798,0.00146798,0.00146798
71,96591.7,1.11801,1.76704,1.77648,0.67487,0.68357,0.72579,0.48434,1.17162,1.1901,2.01694,0.00145405,0.00145405,0.00145405
72,98111.1,1.11049,1.75099,1.77133,0.65072,0.71319,0.73186,0.4758,1.18296,1.1754,2.05857,0.00144,0.00144,0.00144
